Structure	NumberExcluded	TotalGoodSubjs	Mean	StandDev
LLatVent	0	24	7535.93333333333	3204.04145167599
RLatVent	0	24	7459.62916666667	3767.50731264738
Avg_LLatVent_RLatVent	0	24	7497.78125	3336.09243898921
Assym_LLatVent_RLatVent	0	24	0.0213468470931277	0.122096939821005
Lthal	0	24	7785.93333333333	850.789166478453
Rthal	0	24	7606.35833333333	695.166209038102
Avg_Lthal_Rthal	0	24	7696.14583333333	752.625859750044
Assym_Lthal_Rthal	0	24	0.0108130028417447	0.0238393415665269
Lcaud	0	24	3679.45	490.685312244186
Rcaud	0	24	3752.92916666667	494.870179268978
Avg_Lcaud_Rcaud	0	24	3716.18958333333	485.947215996348
Assym_Lcaud_Rcaud	0	24	-0.0100404644954535	0.0219427933890912
Lput	0	24	5179.70833333333	527.85455582144
Rput	0	24	5089.02916666667	542.63394537896
Avg_Lput_Rput	0	24	5134.36875	499.125349075434
Assym_Lput_Rput	0	24	0.00899003072446624	0.0382626181292099
Lpal	0	24	2065.05	238.859471146785
Rpal	0	24	1941.625	217.256420828717
Avg_Lpal_Rpal	0	24	2003.3375	218.188924045395
Assym_Lpal_Rpal	0	24	0.0305411140283365	0.031429339125
Lhippo	0	24	3981.12916666667	337.158514492705
Rhippo	0	24	4046.83333333333	424.531065762096
Avg_Lhippo_Rhippo	0	24	4013.98125	370.413397674315
Assym_Lhippo_Rhippo	0	24	-0.007278826062157	0.0246007399885101
Lamyg	0	24	1543.675	187.099585782545
Ramyg	0	24	1655.34583333333	222.004349701153
Avg_Lamyg_Ramyg	0	24	1599.51041666667	194.356562164339
Assym_Lamyg_Ramyg	0	24	-0.0337560472100374	0.042125026124039
Laccumb	0	24	574.558333333333	86.7477347989769
Raccumb	0	24	557.004166666667	84.1173015298676
Avg_Laccumb_Raccumb	0	24	565.78125	77.7314577533222
Assym_Laccumb_Raccumb	0	24	0.0151559101609845	0.0616182174821866
ICV	0	24	1571951.25	160832.2959216
